Date,Value
2012-05-24,449.0
2012-05-25,369.0
2012-05-26,335.0
2012-05-27,364.0
2012-05-28,589.0
2012-05-29,568.0
2012-05-30,738.0
2012-05-31,608.0
2012-06-01,629.0
2012-06-02,675.0
2012-06-03,704.0
2012-06-04,524.0
2012-06-05,522.0
2012-06-06,233.0
2012-06-07,743.0
2012-06-08,267.0
2012-06-09,615.0
2012-06-10,473.0
2012-06-11,460.0
2012-06-12,254.0
2012-06-13,315.0
2012-06-14,498.0
2012-06-15,643.0
2012-06-16,564.0
2012-06-17,333.0
2012-06-18,329.0
2012-06-19,404.0
2012-06-20,470.0
2012-06-21,476.0
2012-06-22,542.0
2012-06-23,695.0
2012-06-24,841.0
2012-06-25,1214.0
2012-06-26,1131.0
2012-06-27,936.0
2012-06-28,907.0
2012-06-29,1040.0
2012-06-30,995.0
2012-07-01,525.0
2012-07-02,513.0
2012-07-03,622.0
2012-07-04,812.0
2012-07-05,1095.0
2012-07-06,1395.0
2012-07-07,2008.0
2012-07-08,627.0
2012-07-09,889.0
2012-07-10,1624.0
2012-07-11,1977.0
2012-07-12,1244.0
2012-07-13,1923.0
2012-07-14,1635.0
2012-07-15,2332.0
2012-07-16,1288.0
2012-07-17,1532.0
2012-07-18,2072.0
2012-07-19,1987.0
2012-07-20,2994.0
2012-07-21,2445.0
2012-07-22,2117.0
2012-07-23,1418.0
2012-07-24,986.0
2012-07-25,1280.0
2012-07-26,2667.0
2012-07-27,2387.0
2012-07-28,2764.0
2012-07-29,4097.0
2012-07-30,3944.0
2012-07-31,2731.0
2012-08-01,2420.0
2012-08-02,1795.0
2012-08-03,2676.0
2012-08-04,3463.0
2012-08-05,4077.0
2012-08-06,2653.0
2012-08-07,1484.0
2012-08-08,1073.0
2012-08-09,1288.0
2012-08-10,1014.0
2012-08-11,3212.0
2012-08-12,2160.0
2012-08-13,2055.0
2012-08-14,2814.0
2012-08-15,3082.0
2012-08-16,3666.0
2012-08-17,3072.0
2012-08-18,3600.0
2012-08-19,3384.0
2012-08-20,3508.0
2012-08-21,3415.0
2012-08-22,3054.0
2012-08-23,3144.0
2012-08-24,2427.0
2012-08-25,4885.0
2012-08-26,3956.0
2012-08-27,2697.0
2012-08-28,3643.0
2012-08-29,3183.0
2012-08-30,3982.0
2012-08-31,3158.0
2012-09-01,2973.0
2012-09-02,2807.0
2012-09-03,3708.0
2012-09-04,4889.0
2012-09-05,6990.0
2012-09-06,5840.0
2012-09-07,2845.0
2012-09-08,4108.0
2012-09-09,2625.0
2012-09-10,4033.0
2012-09-11,3844.0
2012-09-12,4049.0
2012-09-13,3334.0
2012-09-14,5334.0
2012-09-15,4919.0
2012-09-16,4375.0
2012-09-17,2477.0
2012-09-18,4142.0
2012-09-19,5290.0
2012-09-20,3651.0
2012-09-21,4017.0
2012-09-22,3439.0
2012-09-23,3515.0
2012-09-24,4080.0
2012-09-25,1486.0
2012-09-26,2782.0
2012-09-27,2846.0
2012-09-28,3261.0
2012-09-29,2660.0
2012-09-30,3148.0
2012-10-01,3322.0
2012-10-02,3160.0
2012-10-03,4720.0
2012-10-04,3419.0
2012-10-05,3691.0
2012-10-06,3251.0
2012-10-07,2023.0
2012-10-08,2174.0
2012-10-09,2072.0
2012-10-10,1819.0
2012-10-11,2993.0
2012-10-12,2168.0
2012-10-13,3006.0
2012-10-14,3314.0
2012-10-15,3081.0
2012-10-16,3662.0
2012-10-17,4376.0
2012-10-18,4100.0
2012-10-19,4076.0
2012-10-20,3069.0
2012-10-21,3026.0
2012-10-22,4881.0
2012-10-23,4466.0
2012-10-24,4558.0
2012-10-25,4314.0
2012-10-26,2280.0
2012-10-27,1519.0
2012-10-28,1628.0
2012-10-29,2847.0
2012-10-30,3870.0
2012-10-31,3717.0
2012-11-01,3815.0
2012-11-02,4620.0
2012-11-03,3759.0
2012-11-04,3320.0
2012-11-05,5050.0
2012-11-06,3749.0
2012-11-07,3903.0
2012-11-08,5082.0
2012-11-09,2942.0
2012-11-10,2987.0
