Date,Value
2012-05-05,3681.50882401
2012-05-06,7856.11129634
2012-05-07,8432.27096583
2012-05-08,17339.6385359
2012-05-09,8126.85879834
2012-05-10,11378.7788912
2012-05-11,9943.1105676
2012-05-12,3654.04073572
2012-05-13,7404.51096746
2012-05-14,5328.98583092
2012-05-15,6724.52202259
2012-05-16,5607.09853727
2012-05-17,9256.4529578
2012-05-18,4570.07577347
2012-05-19,3070.39794663
2012-05-20,1767.93815443
2012-05-21,4061.72581481
2012-05-22,5808.52206592
2012-05-23,7188.9968654
2012-05-24,8373.32340936
2012-05-25,7239.32339271
2012-05-26,7199.59064859
2012-05-27,6123.99520699
2012-05-28,7512.46025477
2012-05-29,6477.6012382
2012-05-30,5978.00812714
2012-05-31,5864.63950469
2012-06-01,9557.41068389
2012-06-02,8362.20944299
2012-06-03,4655.88263647
2012-06-04,5561.30446454
2012-06-05,6779.110526
2012-06-06,11239.4108755
2012-06-07,8898.63229007
2012-06-08,6266.89069322
2012-06-09,6934.76992387
2012-06-10,10298.5063901
2012-06-11,10831.3158606
2012-06-12,25435.7326799
2012-06-13,8646.49375567
2012-06-14,8965.78711403
2012-06-15,9490.21034138
2012-06-16,19201.5025815
2012-06-17,2491.0646075
2012-06-18,6435.28097213
2012-06-19,20772.1081283
2012-06-20,22249.8802052
2012-06-21,9444.99290177
2012-06-22,15016.2752668
2012-06-23,7745.10084472
2012-06-24,16491.295871
2012-06-25,12751.6058184
2012-06-26,6935.54896308
2012-06-27,7745.52949178
2012-06-28,7567.59883782
2012-06-29,10474.3248808
2012-06-30,14349.0396537
2012-07-01,4260.90675865
2012-07-02,7982.5569574
2012-07-03,14759.8006577
2012-07-04,11346.1617255
2012-07-05,6135.85575324
2012-07-06,8266.92036215
2012-07-07,22229.9843905
2012-07-08,6721.09766663
2012-07-09,10971.6817096
2012-07-10,15473.545001
2012-07-11,9878.37679499
2012-07-12,51901.6756518
2012-07-13,256761.591832
2012-07-14,62252.3597641
2012-07-15,35867.2282822
2012-07-16,41730.1342818
2012-07-17,57123.6950618
2012-07-18,28866.1741907
2012-07-19,24568.2969334
2012-07-20,30433.8692753
2012-07-21,19870.0662843
2012-07-22,23918.6132819
2012-07-23,24711.4853394
2012-07-24,18163.9081263
2012-07-25,13850.9992127
2012-07-26,51909.691635
2012-07-27,15708.4356783
2012-07-28,11992.4804781
2012-07-29,34128.5273853
2012-07-30,44856.5013329
2012-07-31,46889.6259703
2012-08-01,28110.5812856
2012-08-02,40529.6687112
2012-08-03,31089.2763027
2012-08-04,30665.6529813
2012-08-05,30217.604706
2012-08-06,26521.5305396
2012-08-07,17407.8985676
2012-08-08,16698.656509
2012-08-09,16880.6913655
2012-08-10,16797.134923
2012-08-11,18664.4287815
2012-08-12,16855.7498136
2012-08-13,16381.3336028
2012-08-14,45987.4605407
2012-08-15,32931.1218624
2012-08-16,41297.7991249
2012-08-17,44518.3668849
2012-08-18,79708.1891993
2012-08-19,28549.1094373
2012-08-20,38901.790347
2012-08-21,54865.6471252
2012-08-22,60501.0440909
2012-08-23,50201.7461069
2012-08-24,22673.0892755
2012-08-25,39275.9229855
2012-08-26,54086.1150873
2012-08-27,37391.5457731
2012-08-28,26787.9399486
2012-08-29,22222.4860357
2012-08-30,29965.3566807
