Date,Value
2012-05-23,1084.0
2012-05-24,1094.0
2012-05-25,1106.0
2012-05-26,1115.0
2012-05-27,1124.0
2012-05-28,1137.0
2012-05-29,1150.0
2012-05-30,1161.0
2012-05-31,1169.0
2012-06-01,1179.0
2012-06-02,1186.0
2012-06-03,1196.0
2012-06-04,1214.0
2012-06-05,1233.0
2012-06-06,1240.0
2012-06-07,1252.0
2012-06-08,1263.0
2012-06-09,1276.0
2012-06-10,1291.0
2012-06-11,1305.0
2012-06-12,1314.0
2012-06-13,1335.0
2012-06-14,1359.0
2012-06-15,1383.0
2012-06-16,1404.0
2012-06-17,1420.0
2012-06-18,1436.0
2012-06-19,1452.0
2012-06-20,1467.0
2012-06-21,1478.0
2012-06-22,1489.0
2012-06-23,1498.0
2012-06-24,1507.0
2012-06-25,1518.0
2012-06-26,1531.0
2012-06-27,1543.0
2012-06-28,1554.0
2012-06-29,1562.0
2012-06-30,1571.0
2012-07-01,1578.0
2012-07-02,1587.0
2012-07-03,1596.0
2012-07-04,1605.0
2012-07-05,1614.0
2012-07-06,1623.0
2012-07-07,1633.0
2012-07-08,1642.0
2012-07-09,1652.0
2012-07-10,1665.0
2012-07-11,1677.0
2012-07-12,1688.0
2012-07-13,1698.0
2012-07-14,1709.0
2012-07-15,1719.0
2012-07-16,1732.0
2012-07-17,1746.0
2012-07-18,1759.0
2012-07-19,1773.0
2012-07-20,1788.0
2012-07-21,1803.0
2012-07-22,1814.0
2012-07-23,1828.0
2012-07-24,1840.0
2012-07-25,1851.0
2012-07-26,1863.0
2012-07-27,1873.0
2012-07-28,1885.0
2012-07-29,1898.0
2012-07-30,1914.0
2012-07-31,1928.0
2012-08-01,1942.0
2012-08-02,1954.0
2012-08-03,1966.0
2012-08-04,1977.0
2012-08-05,1989.0
2012-08-06,2002.0
2012-08-07,2012.0
2012-08-08,2027.0
2012-08-09,2040.0
2012-08-10,2051.0
2012-08-11,2062.0
2012-08-12,2074.0
2012-08-13,2093.0
2012-08-14,2108.0
2012-08-15,2128.0
2012-08-16,2148.0
2012-08-17,2164.0
2012-08-18,2179.0
2012-08-19,2195.0
2012-08-20,2210.0
2012-08-21,2225.0
2012-08-22,2240.0
2012-08-23,2252.0
2012-08-24,2263.0
2012-08-25,2276.0
2012-08-26,2287.0
2012-08-27,2299.0
2012-08-28,2311.0
2012-08-29,2324.0
2012-08-30,2336.0
2012-08-31,2352.0
2012-09-01,2368.0
2012-09-02,2380.0
2012-09-03,2396.0
2012-09-04,2411.0
2012-09-05,2427.0
2012-09-06,2444.0
2012-09-07,2457.0
2012-09-08,2470.0
2012-09-09,2481.0
2012-09-10,2493.0
2012-09-11,2508.0
2012-09-12,2520.0
2012-09-13,2531.0
2012-09-14,2546.0
2012-09-15,2558.0
2012-09-16,2569.0
2012-09-17,2579.0
2012-09-18,2591.0
2012-09-19,2604.0
2012-09-20,2617.0
2012-09-21,2630.0
2012-09-22,2641.0
2012-09-23,2651.0
2012-09-24,2664.0
2012-09-25,2673.0
2012-09-26,2686.0
2012-09-27,2698.0
2012-09-28,2710.0
2012-09-29,2721.0
2012-09-30,2730.0
2012-10-01,2741.0
2012-10-02,2753.0
2012-10-03,2768.0
2012-10-04,2781.0
2012-10-05,2795.0
2012-10-06,2810.0
2012-10-07,2824.0
2012-10-08,2840.0
2012-10-09,2855.0
2012-10-10,2868.0
2012-10-11,2881.0
2012-10-12,2891.0
2012-10-13,2907.0
2012-10-14,2918.0
2012-10-15,2931.0
2012-10-16,2946.0
2012-10-17,2961.0
2012-10-18,2974.0
2012-10-19,2987.0
2012-10-20,2999.0
2012-10-21,3016.0
2012-10-22,3031.0
2012-10-23,3048.0
2012-10-24,3063.0
2012-10-25,3076.0
2012-10-26,3086.0
2012-10-27,3094.0
2012-10-28,3102.0
2012-10-29,3111.0
2012-10-30,3124.0
2012-10-31,3136.0
2012-11-01,3147.0
2012-11-02,3158.0
2012-11-03,3169.0
2012-11-04,3179.0
2012-11-05,3194.0
2012-11-06,3206.0
2012-11-07,3222.0
2012-11-08,3237.0
2012-11-09,3249.0
2012-11-10,3261.0
2012-11-11,3270.0
2012-11-12,3280.0
2012-11-13,3290.0
2012-11-14,3302.0
2012-11-15,3317.0
2012-11-16,3333.0
2012-11-17,3349.0
2012-11-18,3363.0
2012-11-19,3377.0
2012-11-20,3393.0
2012-11-21,3411.0
2012-11-22,3425.0
2012-11-23,3439.0
2012-11-24,3452.0
2012-11-25,3467.0
2012-11-26,3483.0
2012-11-27,3496.0
2012-11-28,3511.0
2012-11-29,3528.0
2012-11-30,3540.0
2012-12-01,3555.0
2012-12-02,3564.0
2012-12-03,3574.0
2012-12-04,3586.0
2012-12-05,3601.0
2012-12-06,3618.0
2012-12-07,3632.0
2012-12-08,3645.0
2012-12-09,3659.0
2012-12-10,3676.0
2012-12-11,3692.0
2012-12-12,3707.0
2012-12-13,3724.0
2012-12-14,3741.0
2012-12-15,3755.0
2012-12-16,3769.0
2012-12-17,3785.0
2012-12-18,3805.0
2012-12-19,3825.0
2012-12-20,3839.0
2012-12-21,3856.0
2012-12-22,3876.0
2012-12-23,3892.0
2012-12-24,3908.0
2012-12-25,3920.0
2012-12-26,3936.0
2012-12-27,3955.0
2012-12-28,3975.0
2012-12-29,3992.0
2012-12-30,4010.0
2012-12-31,4025.0
2013-01-01,4037.0
2013-01-02,4053.0
2013-01-03,4069.0
2013-01-04,4090.0
2013-01-05,4105.0
2013-01-06,4119.0
2013-01-07,4136.0
2013-01-08,4152.0
2013-01-09,4171.0
2013-01-10,4193.0
2013-01-11,4215.0
2013-01-12,4234.0
2013-01-13,4252.0
2013-01-14,4271.0
2013-01-15,4289.0
2013-01-16,4310.0
2013-01-17,4330.0
2013-01-18,4352.0
2013-01-19,4375.0
2013-01-20,4392.0
2013-01-21,4409.0
2013-01-22,4426.0
2013-01-23,4448.0
2013-01-24,4470.0
2013-01-25,4490.0
2013-01-26,4513.0
2013-01-27,4535.0
2013-01-28,4558.0
2013-01-29,4583.0
2013-01-30,4603.0
2013-01-31,4623.0
2013-02-01,4647.0
2013-02-02,4671.0
2013-02-03,4695.0
2013-02-04,4719.0
2013-02-05,4741.0
2013-02-06,4760.0
2013-02-07,4784.0
2013-02-08,4811.0
2013-02-09,4832.0
2013-02-10,4856.0
2013-02-11,4881.0
2013-02-12,4906.0
2013-02-13,4930.0
2013-02-14,4953.0
2013-02-15,4979.0
2013-02-16,5001.0
2013-02-17,5023.0
2013-02-18,5043.0
2013-02-19,5067.0
2013-02-20,5093.0
2013-02-21,5119.0
2013-02-22,5144.0
2013-02-23,5170.0
2013-02-24,5193.0
2013-02-25,5221.0
2013-02-26,5247.0
2013-02-27,5274.0
2013-02-28,5301.0
2013-03-01,5330.0
2013-03-02,5357.0
2013-03-03,5378.0
2013-03-04,5406.0
2013-03-05,5431.0
2013-03-06,5461.0
2013-03-07,5489.0
2013-03-08,5517.0
2013-03-09,5538.0
2013-03-10,5569.0
2013-03-11,5599.0
2013-03-12,5619.0
2013-03-13,5644.0
2013-03-14,5670.0
2013-03-15,5697.0
2013-03-16,5718.0
2013-03-17,5733.0
2013-03-18,5750.0
2013-03-19,5772.0
2013-03-20,5791.0
2013-03-21,5816.0
2013-03-22,5844.0
2013-03-23,5872.0
2013-03-24,5895.0
2013-03-25,5918.0
2013-03-26,5941.0
2013-03-27,5964.0
2013-03-28,5992.0
2013-03-29,6023.0
2013-03-30,6050.0
2013-03-31,6077.0
2013-04-01,6103.0
2013-04-02,6132.0
2013-04-03,6163.0
2013-04-04,6196.0
2013-04-05,6222.0
2013-04-06,6248.0
2013-04-07,6278.0
2013-04-08,6308.0
2013-04-09,6335.0
2013-04-10,6366.0
2013-04-11,6398.0
2013-04-12,6426.0
2013-04-13,6449.0
2013-04-14,6473.0
2013-04-15,6498.0
2013-04-16,6527.0
2013-04-17,6553.0
2013-04-18,6576.0
2013-04-19,6603.0
2013-04-20,6624.0
2013-04-21,6645.0
2013-04-22,6666.0
2013-04-23,6691.0
2013-04-24,6724.0
2013-04-25,6752.0
2013-04-26,6778.0
2013-04-27,6800.0
2013-04-28,6820.0
2013-04-29,6844.0
2013-04-30,6870.0
2013-05-01,6892.0
2013-05-02,6918.0
2013-05-03,6943.0
2013-05-04,6965.0
2013-05-05,6988.0
2013-05-06,7012.0
2013-05-07,7040.0
2013-05-08,7063.0
2013-05-09,7092.0
2013-05-10,7123.0
2013-05-11,7155.0
2013-05-12,7185.0
2013-05-13,7213.0
2013-05-14,7241.0
2013-05-15,7270.0
2013-05-16,7298.0
2013-05-17,7325.0
2013-05-18,7348.0
2013-05-19,7369.0
2013-05-20,7390.0
2013-05-21,7415.0
